PictureName,Status,Group,Placement,LabelType,Response,ReactionTime,NASA_Condition,MentalDemand,TemporalDemand,PhysicalDemand,Performance,Effort,FrustrationLevel,SE_Condition,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,Q1,Q2,Q3,Q4,Q5,Explicit,Implicit,Mix,Concurrent,Post-Exposure,CCTEx,CCTIm,CCTM,PEEx,PEIm,PEM
PE_4,CCTIm,CCTIm,Concurrent,Implicit,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_2,CCTIm,CCTIm,Concurrent,Implicit,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_1,CCTIm,CCTIm,Concurrent,Implicit,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_8,CCTIm,CCTIm,Concurrent,Implicit,4,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PE,16,0,10,9,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PE,100,100,80,80,50,50,20,20,0,0,,,,,,,,,,,,,,,,
PM_3,CCTM,CCTM,Concurrent,Mix,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_8,CCTM,CCTM,Concurrent,Mix,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_4,CCTM,CCTM,Concurrent,Mix,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_10,CCTM,CCTM,Concurrent,Mix,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_1,CCTM,CCTM,Concurrent,Mix,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_7,CCTM,CCTM,Concurrent,Mix,5,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_5,CCTM,CCTM,Concurrent,Mix,5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_2,CCTM,CCTM,Concurrent,Mix,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_6,CCTM,CCTM,Concurrent,Mix,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_9,CCTM,CCTM,Concurrent,Mix,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PM,15,0,9,10,15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PM,100,100,90,80,60,50,30,20,0,0,,,,,,,,,,,,,,,,
DTF_2Post-exposure,PEEx,PEEx,Post-Exposure,Explicit,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_5Post-exposure,PEEx,PEEx,Post-Exposure,Explicit,3,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_4Post-exposure,PEEx,PEEx,Post-Exposure,Explicit,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_3Post-exposure,PEEx,PEEx,Post-Exposure,Explicit,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_1Post-exposure,PEEx,PEEx,Post-Exposure,Explicit,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_2,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_5,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_4,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_3,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_1,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DTF,12,0,10,10,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,DTF,100,100,100,80,70,60,30,30,10,0,,,,,,,,,,,,,,,,
DE_2,PEIm,PEIm,Post-Exposure,Implicit,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_1,PEIm,PEIm,Post-Exposure,Implicit,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_3,PEIm,PEIm,Post-Exposure,Implicit,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_4,PEIm,PEIm,Post-Exposure,Implicit,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_5,PEIm,PEIm,Post-Exposure,Implicit,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_2Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_1Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_3Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_4Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_5Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DE,15,0,10,10,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,DE,100,100,80,80,60,50,20,20,0,0,,,,,,,,,,,,,,,,
DM_4Post-exposure,PEM,PEM,Post-Exposure,Mix,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_1Post-exposure,PEM,PEM,Post-Exposure,Mix,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_5Post-exposure,PEM,PEM,Post-Exposure,Mix,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_3Post-exposure,PEM,PEM,Post-Exposure,Mix,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_2Post-exposure,PEM,PEM,Post-Exposure,Mix,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_4,PEM_Post-exposure,PEM,Post-Exposure,Mix,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_1,PEM_Post-exposure,PEM,Post-Exposure,Mix,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_5,PEM_Post-exposure,PEM,Post-Exposure,Mix,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_3,PEM_Post-exposure,PEM,Post-Exposure,Mix,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_2,PEM_Post-exposure,PEM,Post-Exposure,Mix,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DM,14,0,10,10,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,DM,100,100,90,80,60,50,20,20,0,0,,,,,,,,,,,,,,,,
C_8,Control,Control,Control,Control,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_3,Control,Control,Control,Control,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_5,Control,Control,Control,Control,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_9,Control,Control,Control,Control,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_1,Control,Control,Control,Control,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_7,Control,Control,Control,Control,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_6,Control,Control,Control,Control,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_10,Control,Control,Control,Control,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_2,Control,Control,Control,Control,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_4,Control,Control,Control,Control,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,C,15,0,10,10,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,C,100,100,90,80,50,50,20,20,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,5,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,
DTF_1,PEEx,PEEx,Post-Exposure,Explicit,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
DTF_3,PEEx,PEEx,Post-Exposure,Explicit,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,4,5,1,2
DTF_2,PEEx,PEEx,Post-Exposure,Explicit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_5,PEEx,PEEx,Post-Exposure,Explicit,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_4,PEEx,PEEx,Post-Exposure,Explicit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_1Post-exposure,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_3Post-exposure,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_2Post-exposure,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_5Post-exposure,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTF_4Post-exposure,PEEx_Post-exposure,PEEx,Post-Exposure,Explicit,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DTF,6,6,1,8,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,DTF,100,100,100,90,80,60,40,10,10,10,,,,,,,,,,,,,,,,
DE_1,PEIm,PEIm,Post-Exposure,Implicit,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_4,PEIm,PEIm,Post-Exposure,Implicit,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_5,PEIm,PEIm,Post-Exposure,Implicit,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_2,PEIm,PEIm,Post-Exposure,Implicit,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_3,PEIm,PEIm,Post-Exposure,Implicit,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_1Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_4Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_5Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_2Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE_3Post-exposure,PEIm_Post-exposure,PEIm,Post-Exposure,Implicit,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DE,10,8,1,14,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,DE,100,100,100,100,90,70,60,50,30,10,,,,,,,,,,,,,,,,
DM_3,PEM,PEM,Post-Exposure,Mix,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_4,PEM,PEM,Post-Exposure,Mix,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_1,PEM,PEM,Post-Exposure,Mix,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_2,PEM,PEM,Post-Exposure,Mix,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_5,PEM,PEM,Post-Exposure,Mix,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_3Post-exposure,PEM_Post-exposure,PEM,Post-Exposure,Mix,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_4Post-exposure,PEM_Post-exposure,PEM,Post-Exposure,Mix,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_1Post-exposure,PEM_Post-exposure,PEM,Post-Exposure,Mix,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_2Post-exposure,PEM_Post-exposure,PEM,Post-Exposure,Mix,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM_5Post-exposure,PEM_Post-exposure,PEM,Post-Exposure,Mix,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,DM,8,7,1,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,DM,100,100,100,100,100,90,80,60,40,30,,,,,,,,,,,,,,,,
C_2,Control,Control,Control,Control,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_5,Control,Control,Control,Control,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_3,Control,Control,Control,Control,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_8,Control,Control,Control,Control,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_1,Control,Control,Control,Control,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_6,Control,Control,Control,Control,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_4,Control,Control,Control,Control,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_7,Control,Control,Control,Control,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_10,Control,Control,Control,Control,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_9,Control,Control,Control,Control,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,C,11,7,1,3,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,C,100,100,80,70,50,30,20,10,10,0,,,,,,,,,,,,,,,,
PTF_2,CCTEx,CCTEx,Concurrent,Explicit,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_8,CCTEx,CCTEx,Concurrent,Explicit,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_5,CCTEx,CCTEx,Concurrent,Explicit,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_7,CCTEx,CCTEx,Concurrent,Explicit,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_9,CCTEx,CCTEx,Concurrent,Explicit,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_4,CCTEx,CCTEx,Concurrent,Explicit,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_3,CCTEx,CCTEx,Concurrent,Explicit,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_6,CCTEx,CCTEx,Concurrent,Explicit,4,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_10,CCTEx,CCTEx,Concurrent,Explicit,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF_1,CCTEx,CCTEx,Concurrent,Explicit,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PTF,12,6,1,12,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PTF,100,100,100,100,90,80,50,30,20,10,,,,,,,,,,,,,,,,
PE_1,CCTIm,CCTIm,Concurrent,Implicit,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_8,CCTIm,CCTIm,Concurrent,Implicit,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_4,CCTIm,CCTIm,Concurrent,Implicit,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_5,CCTIm,CCTIm,Concurrent,Implicit,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_3,CCTIm,CCTIm,Concurrent,Implicit,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_9,CCTIm,CCTIm,Concurrent,Implicit,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_10,CCTIm,CCTIm,Concurrent,Implicit,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_6,CCTIm,CCTIm,Concurrent,Implicit,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_2,CCTIm,CCTIm,Concurrent,Implicit,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE_7,CCTIm,CCTIm,Concurrent,Implicit,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PE,5,8,1,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PE,100,100,100,100,90,90,80,50,40,10,,,,,,,,,,,,,,,,
PM_2,CCTM,CCTM,Concurrent,Mix,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_4,CCTM,CCTM,Concurrent,Mix,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_5,CCTM,CCTM,Concurrent,Mix,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_8,CCTM,CCTM,Concurrent,Mix,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_7,CCTM,CCTM,Concurrent,Mix,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_6,CCTM,CCTM,Concurrent,Mix,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_1,CCTM,CCTM,Concurrent,Mix,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_9,CCTM,CCTM,Concurrent,Mix,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_10,CCTM,CCTM,Concurrent,Mix,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM_3,CCTM,CCTM,Concurrent,Mix,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PM,4,5,1,9,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,PM,100,100,100,90,90,80,60,40,30,20,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,4,2,3
